Id,REFID,Code,Category,LocalName,EnglishName,ScientificName,FrenchNames,Source,ENERGY_kJ,ENERGY_kcal,WATER_g,PROTEIN_g,FAT_g,CHO_g,FIB_g,ASH_g,Ca_mg,Fe_mg,Mg_mg,P_mg,K_mg,Na_mg,Zn_mg,Cu_mg,Mn_mg,VIT_A_RAE_mcg,RETOL_mcg,CARTB_mcg,VITDEQ_mcg,VITE_mg,THIA_mg,RIBF_mg,NIAEQ_mg,VIT_B6_mg,FOL_mcg,VITB12_mcg,VITC_mg,SearchName
1,1,01_01_01,Cereals and Grain Products,,"Acha, black, whole grain, Raw",Digitaria iburua,,002,1491.7,352.6,10.3,8.9,3,69.4,6.2,2.2,51,10,434,234,340,8,3.8,0.44,,,,,,0.05,0.26,0.1,1.7,0.74,29,,,"Acha, black, whole grain, Raw   Digitaria iburua"
2,3,01_01_03,Cereals and Grain Products,,"Acha, white, whole grain, Raw",Digitaria exilis,,002,1471,347.9,11.1,7,3.1,69.3,7.4,2.1,40,8.5,430,191,337,7,1.5,0.44,,,,,,0.05,0.25,0.1,1.7,0.73,29,,,"Acha, white, whole grain, Raw   Digitaria exilis"
3,2,01_01_02,Cereals and Grain Products,Tuwon Acha(Hausa),"Acha, white, whole grain, Boiled",Digitaria iburua,,002,613.5,145.1,63,2.9,1.3,28.9,3.1,0.9,17,3.5,179,77,110,2,0.61,0.18,,,,,,0.02,0.07,0.03,0.6,0.19,9,,,"Acha, white, whole grain, Boiled  Tuwon Acha(Hausa) Digitaria iburua"
4,4,01_02_01,Cereals and Grain Products,"Masara(Hausa), Agbado(Yoruba), Abakpa(Ibibio)","Maize, white, whole kernel, dried, raw",Zea mays,,"001,002,007,040,189,203,085,100",1584.231,374.084,10.24,9.257,3.952,74.686,1.37,2.147,17.214,2.400,41.075,273,355,30.5,1.55,0.18,1.25,,,,,1.3,0.382,0.156,2.814,0.622,26,,5.7,"Maize, white, whole kernel, dried, raw  Masara(Hausa), Agbado(Yoruba), Abakpa(Ibibio) Zea mays"
5,5,01_02_02,Cereals and Grain Products,Agidi(Yoruba),"Maize, white,fermented gruel,cooked, moulded",,,"096,033,035,002,085",395.437,93.34,78.522,1.838,0.487,19.752,1.3,0.273,4.333,0.1,8.26,56,40,,1.607,0.515,,0.87,,97,,0.04,0.02,0.05,0.3,0.02,1.1,,2,"Maize, white,fermented gruel,cooked, moulded  Agidi(Yoruba)"
6,6,01_02_03,Cereals and Grain Products,Ogi(Yoruba),"Maize, white, fermented gruel",,,"033,035,002,097",207.963,49.01,89.223,1.04,0.063,10.82,0.5,0.093,1.845,0.183,3.19,10,15,0.82,0.243,0.285,0.33,,,68,,0.02,0.01,0.02,0.1,0.01,1,,,"Maize, white, fermented gruel  Ogi(Yoruba)"
7,7,01_02_04,Cereals and Grain Products,,"Maize, yellow, whole kernel, dried, raw",Zea mays,,"001,002,085",1651.08,390.76,10.557,9.807,4.38,73.853,8.35,1.25,9.5,3.105,124,226,291,23,1.955,0.277,,50,,597,,1.3,0.33,0.15,2.2,0.4,26,,,"Maize, yellow, whole kernel, dried, raw   Zea mays"
8,8,01_02_05,Cereals and Grain Products,,"Maize, yellow, whole kernel, boiled",,,002,571.9,135.5,65.9,3.5,1.7,24.7,3.7,0.5,5,1.3,46,90,88,3,0.63,0.09,,17,,207,,0.5,0.09,0.04,0.7,0.1,7,,,"Maize, yellow, whole kernel, boiled"
9,9,01_02_06,Cereals and Grain Products,Agidi(Yoruba),"Maize, yellow,fermented gruel,cooked, moulded",,,"002,033,035",215.83,50.96,87.82,0.9,0.08,11.01,1.3,0.15,1.98,0.295,9.51,26,49,0.805,0.225,0.605,0.4,3,,41,,0.04,0.02,0.01,0.2,0.03,1,,,"Maize, yellow,fermented gruel,cooked, moulded  Agidi(Yoruba)"
10,10,01_02_07,Cereals and Grain Products,,"Maize, yellow, fermented gruel",,,"002,033,035",173.8,40.975,89.775,0.765,0.075,9.06,0.5,0.08,3.29,0.095,4.195,10,7.59,0.61,0.13,0.355,,1,,15,,0.01,0.01,0.004,0.1,0.01,,,,"Maize, yellow, fermented gruel"
11,11,01_02_08,Cereals and Grain Products,,Pop corn,,,"001,099",1578.7,372.66,2.52,3.14,0.66,84.26,8.56,0.87,10,21.84,108,250,225,884,15.3,5.85,0.879,1,,,,,0.134,0.136,1.55,0.209,17,,0.3,Pop corn
12,12,01_03_01,Cereals and Grain Products,Gero(Hausa),"Millet, whole grain, raw",Pennisetum glaucum,,"001,203,002",1560.75,369.357,9.44,11.337,4.237,67.75,7.44,2.58,21.5,6.255,193.5,298,287.5,12,1.575,0.52,,,,,,0.05,0.421,0.29,4.72,0.384,85,,,"Millet, whole grain, raw  Gero(Hausa) Pennisetum glaucum"
13,14,01_03_03,Cereals and Grain Products,,"Pearl millet, whole grain, raw",Pennisetum glaucum,,"101,002",1490.36,353.045,10.22,9.215,4.465,64.5,9,1.08,14,7.6,97,207,401,19,2.83,0.45,,,,,,0.07,0.32,0.27,2.4,0.74,30,,,"Pearl millet, whole grain, raw   Pennisetum glaucum"
14,15,01_04_01,Cereals and Grain Products,"Shinkafa(Hausa), Osi kapa(Igbo), Iresi(Yoruba)","Rice, white raw",Oryza sativa,,"002,007,102,104",1536.590,362.197,9.013,8.175,1.589,78.038,1.525,2.295,42,1.222,55.125,182.65,249,27.75,1.395,0.313,,,,,,0.04,0.11,0.07,0.04,0.2,20,,,"Rice, white raw  Shinkafa(Hausa), Osi kapa(Igbo), Iresi(Yoruba) Oryza sativa"
15,15b,01_04_02,Cereals and Grain Products,Danyen Shinkafa(Hausa),"Rice, White, Combined Varieties",,,005,1575.58,371.46,5.872,5.028,1.85,82.862,1.625,1,0.103,,0.185,0.528,0.182,0.134,,,,,,,,,,,,,,,,"Rice, White, Combined Varieties  Danyen Shinkafa(Hausa)"
16,16,01_04_03,Cereals and Grain Products,Farin Shinkafa(Hausa),"Rice, white, Boiled",,,"002,085,033,035",563.447,132.727,67.65,2.65,0.253,29.637,0.65,0.665,4.195,0.73,8.13,38,34,3.267,0.635,1.11,,,,34,,0.04,0.01,0.15,0.4,0.04,5.5,,,"Rice, white, Boiled  Farin Shinkafa(Hausa)"
17,17,01_04_04,Cereals and Grain Products,Tuwo Shinkafa(Hausa),"Rice, White, cooked, paste",,,"097,033,035",381.34,89.855,77.86,1.955,0.435,19.53,,0.22,16.55,1.095,10.56,,0.39,2.86,1.54,1.47,,,,122,,,,,,,,,,"Rice, White, cooked, paste  Tuwo Shinkafa(Hausa)"
18,18,01_04_05,Cereals and Grain Products,Jan Shinkafa(Hausa),"Rice, brown, Raw",,,"002,085,203",1562.007,368.468,8.95,10.103,2.085,75.945,2.755,1.667,17,1.95,143,283.5,295.5,42,2,0.28,,,,,,0.6,0.38,0.07,4.8,0.51,40,,,"Rice, brown, Raw  Jan Shinkafa(Hausa)"
19,19,01_04_06,Cereals and Grain Products,,"Rice, brown, boiled",,,002,597.1,140.9,64.8,3.1,0.9,29.5,1.2,0.5,9,0.7,57,105,80,2,0.77,0.11,,,,,,0.24,0.08,0.02,1.5,0.1,11,,,"Rice, brown, boiled"
20,20,01_04_07,Cereals and Grain Products,,"Rice, polished, Raw",,,"002,085",1516.1,356.9,10.5,7.6,0.3,80.6,0.7,0.6,5.9,0.7,35,124,95,3,1.1,0.17,,,,,,0.03,0.07,0.03,0.9,0.13,20,,,"Rice, polished, Raw"
21,21,01_04_08,Cereals and Grain Products,"Jollof rice(English), Dafa Duko(Hausa)","Rice, white, cooked with tomatoes, tomato paste,Onions and Spices with Vegetable oil.",,,"097,033,035",610.985,144.545,69.245,2.635,2.665,27.505,,1.39,14.08,0.875,3.44,,0.83,5.66,1.065,2.44,,,,192,,,,,,,,,,"Rice, white, cooked with tomatoes, tomato paste,Onions and Spices with Vegetable oil.  Jollof rice(English), Dafa Duko(Hausa)"
22,22,01_04_09,Cereals and Grain Products,Fried Rice,"Rice, white, cooked with diced carrot,onions,green peas with Vegetable oil",,,"001,033,035",729.99,172.88,60.05,2.56,3.36,32.55,1.1,1.48,3.52,1.44,4.26,,1.03,5.69,1.22,2.19,,22,,379,,0.13,0.015,0.026,,0.032,6,,3.8,"Rice, white, cooked with diced carrot,onions,green peas with Vegetable oil  Fried Rice"
23,23,01_05_01,Cereals and Grain Products,Jan dawa(Hausa),"Sorghum, red, whole grain, raw",Sorghum bicolor,,002,1468.4,347.7,10.1,10.5,3.5,63.6,9.9,2.4,24,3.4,311,297,387,14,1.97,0.26,,,,,,1.1,0.36,0.16,3.3,0.25,30,,,"Sorghum, red, whole grain, raw  Jan dawa(Hausa) Sorghum bicolor"
24,24,01_05_02,Cereals and Grain Products,Farin Dawa(Hausa),"Sorghum, white, whole grain, raw",,,"002,005",1589.5,375.9,11,11.15,3.9,70.85,6.4,2.3,6,3.65,311,249,298,9.6,1.26,0.6,,2.2,,,,1.1,0.36,0.17,3.4,0.25,30,,,"Sorghum, white, whole grain, raw  Farin Dawa(Hausa)"
25,26,01_05_04,Cereals and Grain Products,,"Sorghum, fermented gruel, dried",,,004,1609.66,380.54,9.62,11.7,5.3,70.5,2.02,0.86,56.3,18.7,325.7,,,,12.6,4.3,,,,,,,,,,,,,,"Sorghum, fermented gruel, dried"
26,27,01_06_01,Cereals and Grain Products,,"Bread, whole wheat",,,"001,107,108,085,003",1191.325,281.806,32.223,8.324,4.014,51.761,2.669,1.84,89.841,4.07,53.332,171.368,172.729,350.156,1.5,0.25,,,,2,,0.76,0.3,0.06,3,0.473,39,,,"Bread, whole wheat"
27,28,01_06_02,Cereals and Grain Products,"Taliya Daffafe(Hausa), Supageti (Igbo)","Spaghetti, boiled",Triticum vulgare,,"085,001",524.5,123.5,72,4.2,0.3,26,,0.5,7,0.4,62,37,50,2,1.08,0.205,1.504,8,,,,,0.01,0.01,0.3,0.096,12,,,"Spaghetti, boiled  Taliya Daffafe(Hausa), Supageti (Igbo) Triticum vulgare"
28,29,01_06_03,Cereals and Grain Products,Garin alkama(Hausa),"Wheat,white,flour",,,"002,040,112,107,108,193",1530.432,360.796,11.267,11.918,1.758,73.572,1.508,0.816,19,2.538,60,110,135,3,2.037,0.257,,,,4.36,,0.3,0.28,0.1,1.2,0.2,24,,5.7,"Wheat,white,flour  Garin alkama(Hausa)"
29,30,01_06_04,Cereals and Grain Products,Alkama (Hausa),"Wheat, parboiled, grain",Triticum vulgare,,085,1495.2,352.6,12,12,1.8,71,2.2,,54,6.1,,280,400,5,,,,,,,,,0.4,0.08,2.8,,,,,"Wheat, parboiled, grain  Alkama (Hausa) Triticum vulgare"
30,1,02_01_01,Starchy Roots And Tubers,"Ka' danya(Hausa), Ukwa(Igbo), Gbere fruit(Yoruba), Bire fuut(Ibibio)","Bread fruit, pulp, raw",Artocarpus altilis,,"002,085",501.47,118.465,71.325,1.285,0.265,26.06,3.35,0.915,22.5,1.27,25,32,490,2,0.12,0.084,,,,10,,0.1,0.08,0.05,0.9,0.1,14,0.7,31,"Bread fruit, pulp, raw  Ka' danya(Hausa), Ukwa(Igbo), Gbere fruit(Yoruba), Bire fuut(Ibibio) Artocarpus altilis"
31,2,02_01_02,Starchy Roots And Tubers,Barafuta(Hausa),"Breadfruit  seeds, raw",Artocarpus altilis,,001,871.31,207.27,56.27,7.4,5.59,29.24,5.2,1.5,36,3.67,54,175,941,25,0.9,1.148,0.142,13,,,,,0.482,0.302,0.438,0.32,53,,6.6,"Breadfruit  seeds, raw  Barafuta(Hausa) Artocarpus altilis"
32,3,02_02_03,Starchy Roots And Tubers,"Ayaba(Hausa), Unere(Igbo), Ogede paranta(Yoruba), Mboro(Ibibio)","Bananna, ripe, peeled, raw",Musa acuminata,,001,439.82,103.89,74.91,1.09,0.33,22.84,2.6,0.82,5,0.26,27,22,358,1,0.15,0.078,0.27,3,,26,,0.1,0.031,0.073,0.665,0.367,20,,8.7,"Bananna, ripe, peeled, raw  Ayaba(Hausa), Unere(Igbo), Ogede paranta(Yoruba), Mboro(Ibibio) Musa acuminata"
33,4,02_03_01,Starchy Roots And Tubers,"Rogo(Hausa), Akpu(Hausa), Ege(Yoruba), Iwa(Ibibio)","Cassava, white, fresh, raw",Manihot esculenta,,"185,050,001,059",621.098,146.337,65.32,1.038,0.293,34.42,0.933,0.655,22,1.242,15.333,47.2,201.4,222.1,1.513,0.1,0.384,1,,8,,0.19,0.087,0.048,0.854,0.088,27,,20.6,"Cassava, white, fresh, raw  Rogo(Hausa), Akpu(Hausa), Ege(Yoruba), Iwa(Ibibio) Manihot esculenta"
34,5,02_03_02,Starchy Roots And Tubers,"Garin rogo(Hausa), Garri(Yoruba)","Cassava, white, grated, fermented, dewatered, Fried",,,"085,050,010,195",1541.964,363.189,12.161,1.596,0.724,86.889,1.368,2.294,56.05,2.167,42.9,144.5,234.5,206.4,2.5,,,,,,,,0.08,0.03,,,,,,"Cassava, white, grated, fermented, dewatered, Fried  Garin rogo(Hausa), Garri(Yoruba)"
35,8a,02_03_06,Starchy Roots And Tubers,Eba(Yoruba),"Cassava,White, grated, Fermented, dewatered, cooked into paste",,,"050,033,035,059,097",418.67,98.74,76.417,0.675,0.1,22.935,1.7,0.528,35.548,1.452,13.633,104.15,332.05,319.85,2.632,3.04,0.96,,,,,,,,,,,,,"Cassava,White, grated, Fermented, dewatered, cooked into paste  Eba(Yoruba)"
36,8b,02_03_07,Starchy Roots And Tubers,Yellow eba,"Cassava, white, grated, fermented,dewatered, Fried, cooked into paste(palm oil added)",,,"033,035",498.71,117.62,71.33,0.37,0.26,27.6,1.7,0.44,16.17,1.23,9.09,,0.73,4.28,0.83,1.04,1.44,,,321,,,,,,,,,,"Cassava, white, grated, fermented,dewatered, Fried, cooked into paste(palm oil added)  Yellow eba"
37,6,02_03_03,Starchy Roots And Tubers,Fufu,"Cassava, white, Fermented,sieved,cooked",,,"034,033,035,097,085,059",605.132,142.448,70.042,0.523,0.075,34.74,0.36,0.773,14.973,0.828,18.67,26.85,0.57,3.54,0.34,3.073,1.3,,,5.41,,,0.04,0.02,,,5.045,0.6,4.81,"Cassava, white, Fermented,sieved,cooked  Fufu"
38,7b,02_03_05,Starchy Roots And Tubers,Lafun Powder(Yoruba),"Cassava, white, fermented,Sundried,milled into Flour",,,"085,050",1435.3,338.25,20.1,2.4,1.25,78.65,1.4,2.9,36.4,3.4,16,32,291.2,327.6,3.9,,,,,,,,0.04,0.03,1,,,,,"Cassava, white, fermented,Sundried,milled into Flour  Lafun Powder(Yoruba)"
39,7a,02_03_04,Starchy Roots And Tubers,Lafun(Yoruba),"Cassava, white, fermented,Sundried,milled into Flour, Cooked into Paste",,,"033,035,059,097",426.647,100.418,75.373,0.483,0.105,24.385,,0.603,49.05,1.5,18.67,62.5,0.54,3.54,1.68,2.49,1.22,,,,,,,,,,,,,"Cassava, white, fermented,Sundried,milled into Flour, Cooked into Paste  Lafun(Yoruba)"
40,10,02_03_10,Starchy Roots And Tubers,,Pupuru flour 100%,,,118,1556.32,366.99,5.9,1.85,1.19,85.32,3.8,1.94,12.7,0.8,2.7,,6,2,0.04,,,,,,,,,,,,,,,Pupuru flour 100%
41,11,02_04_01,Starchy Roots And Tubers,"Gwaza(Hausa), Ede(Igbo), Koko(Yoruba), Ikpon(Ibibio)","Cocoyam,white,fresh,peeled,raw",Xanthosoma spp,,"002,200",546.8,129.2,64.7,2.4,0.2,27.4,4.1,1.2,11,0.6,13,58,457,7,0.38,0.16,0.383,4,,35,,2.4,0.1,0.03,0.8,0.24,22,,8,"Cocoyam,white,fresh,peeled,raw  Gwaza(Hausa), Ede(Igbo), Koko(Yoruba), Ikpon(Ibibio) Xanthosoma spp"
42,12,02_04_02,Starchy Roots And Tubers,,"Cocoyam, white, peeled, boiled",,,"002,085,186,119",560.943,132.395,66.48,1.99,0.473,28.9,2.288,1.6,19.05,0.505,48.44,56.29,539.05,72.44,1.07,0.533,0.449,,,39,,2.53,0.08,0.03,0.6,0.19,15,,5.9,"Cocoyam, white, peeled, boiled"
43,14,02_04_04,Starchy Roots And Tubers,,"Cocoyam, yellow, Peeled, raw",Xanthosoma spp,,"008,119",393.23,93.24,69.65,7.13,0.22,12.92,5.53,4.729,,,,,,,,,,,,,,,,,,,,,,"Cocoyam, yellow, Peeled, raw   Xanthosoma spp"
44,16,02_05_01,Starchy Roots And Tubers,"Agade(Hausa), Abirika(Igbo), Ogede agbagba(Yoruba), Ukom(Ibibio)","Plantain, ripe, peeled, Raw",Musa Paradisiaca,,"001,085,047,158,192",578.726,136.54,62.745,2.95,0.734,28.882,1.302,1.118,5.5,1.732,37,27.38,434.5,4.083,1.94,0.081,2.99,56,,457,,,0.052,0.054,0.686,0.299,22,,28.89,"Plantain, ripe, peeled, Raw  Agade(Hausa), Abirika(Igbo), Ogede agbagba(Yoruba), Ukom(Ibibio) Musa Paradisiaca"
45,15,02_05_02,Starchy Roots And Tubers,,"Plantain, ripe, peeled,  Boiled",,,"001,085,049",345.4,81.4,71.3,1.3,0.1,18.4,0.85,1,93,2.45,340,190,365,195,3.6,2.2,2.65,45,,369,,,0.046,0.052,0.756,0.24,,,10.9,"Plantain, ripe, peeled,  Boiled"
46,17a,02_05_03,Starchy Roots And Tubers,,"Plantain, ripe, peeled, roasted",,,050,865.1,204,47.3,3.3,1,44.8,1.3,2.4,160,3.48,350,217,270,55.7,3.7,1.6,2.8,,,,,,,,,,,,,"Plantain, ripe, peeled, roasted"
47,18,02_05_05,Starchy Roots And Tubers,Dodo (Yoruba),"Plantain, ripe, fried in palm oil",,,"001,085",1228.3,292.4,35,1.5,9.2,48,5.8,1.26,6,0.8,,66,610,3,,,0.28,,,120,,1.1,0.11,0.02,0.6,0.29,37,,12,"Plantain, ripe, fried in palm oil  Dodo (Yoruba)"
48,19,02_05_06,Starchy Roots And Tubers,,"Plantain,unripe,peeled,raw",,,"085,192,120",859.142,202.258,38.5,3.383,0.205,46.52,0.4,4.067,7,0.5,,35,350,1,,,,,,60,,,0.05,0.05,0.7,,16,,20,"Plantain,unripe,peeled,raw"
49,20,02_05_07,Starchy Roots And Tubers,Ji oko esiriesi (Igbo),"Plantain, green, boiled",,,085,598.9,141.7,64,1,0.1,31,6.4,,9,0.4,,34,330,4,,,,,,60,,,,0.01,,,,,3,"Plantain, green, boiled  Ji oko esiriesi (Igbo)"
50,21,02_05_08,Starchy Roots And Tubers,Plantain flour,"Plantain,unripe,flour",,,193,1325.01,312.01,20.43,2.73,0.63,73.61,0.49,2.11,,,,,,,,,,,,,,,,,,,,,,"Plantain,unripe,flour  Plantain flour"
51,23,02_06_01,Starchy Roots And Tubers,"Dankali(Hausa), Nduku(Igbo), Anamo(Yoruba), Anyen(Ibibio)","Potato, Irish,peeled, raw",Solanum tuberosum,,"002,085",340.55,80.3,77.8,1.8,0.1,17.45,1.2,1.55,12,1,27,50.5,605.5,8.5,0.35,0.09,,1,,12,,0.06,0.07,0.03,1.3,0.27,14,,21,"Potato, Irish,peeled, raw  Dankali(Hausa), Nduku(Igbo), Anamo(Yoruba), Anyen(Ibibio) Solanum tuberosum"
52,24,02_06_02,Starchy Roots And Tubers,,"Potato. Irish,peeled, boiled",,,"002,085",345.3,81.5,78.3,1.75,0.1,17.45,1.9,1.5,7.5,0.6,25,39.5,385,23.5,0.31,0.08,,1,,13,,0.06,0.11,0.03,1.2,0.2,10,,18,"Potato. Irish,peeled, boiled"
53,25,02_06_03,Starchy Roots And Tubers,,"Potato, sweet, peeled, white, raw",,,"085,121",473.85,111.65,78.3,2.3,0.45,24.5,0.2,1.5,7.5,0.3,,5.2,385,23.5,,,,,,0.005,,,0.1,0.02,,,26.2,,,"Potato, sweet, peeled, white, raw"
54,27,02_06_05,Starchy Roots And Tubers,"Dankalin hausa(Hausa), Odunkun(Yoruba)","Potato, sweet,peeled, yellow, raw",Ipomoea batatas,,"040,002,085",513,121,68.833,1.55,0.2,27.25,2,0.9,34.5,1.275,16,38,461,26.5,0.528,0.246,,135,,1800,,0.19,0.09,0.04,0.7,0.27,52,,37,"Potato, sweet,peeled, yellow, raw  Dankalin hausa(Hausa), Odunkun(Yoruba) Ipomoea batatas"
55,28,02_06_06,Starchy Roots And Tubers,,"Potato,Sweet, peeled,yellow,boiled",,,"002,183",498.795,117.79,68.9,1.885,0.25,25.5,3,1.015,30.365,1.075,14,35,369,19,0.305,0.12,,126,,1540,,0.19,0.07,0.03,0.5,0.2,33,,22.9,"Potato,Sweet, peeled,yellow,boiled"
56,29a,02_06_07,Starchy Roots And Tubers,,"Potato, Sweet, deep yellow, Peeled, raw",,,002,477.1,112.7,69.8,1.5,0.3,24.5,3,0.9,26,1.1,16,40,330,19,0.39,0.13,,397,,4770,,0.23,0.09,0.05,0.7,0.2,52,,31,"Potato, Sweet, deep yellow, Peeled, raw"
57,29b,02_06_08,Starchy Roots And Tubers,,"Potato, Sweet, deep yellow, Peeled, boiled",,,002,477.1,112.7,69.2,1.5,0.3,24.5,3,0.9,24,1,14,38,264,15,0.35,0.12,,377,,4530,,0.23,0.07,0.04,0.5,0.15,33,,21.7,"Potato, Sweet, deep yellow, Peeled, boiled"
58,30,02_06_09,Starchy Roots And Tubers,,"Potato, Sweet,Yellow, flour",,,011,1591.03,374.76,5.51,4.67,1,86.32,0.9,1.6,30.2,6.63,,16.42,245,8.53,,,,,,,,,,,,,,,18.5,"Potato, Sweet,Yellow, flour"
59,31a,02_07_01,Starchy Roots And Tubers,"Doya(Yam), Ji(Igbo), Isu(Yoruba), Udia(Ibibio)","Yam,white,fresh,peeled,raw",Dioscorea rotundata,,"040,009,002,122,200",593.833,139.967,61.425,2,0.4,31.567,1.05,1.233,47,0.762,32.633,95,578.5,267.575,0.568,0.402,0.442,2,,30,,0.46,0.32,0.07,0.4,0.34,26,,12.8,"Yam,white,fresh,peeled,raw  Doya(Yam), Ji(Igbo), Isu(Yoruba), Udia(Ibibio) Dioscorea rotundata"
60,32,02_07_09,Starchy Roots And Tubers,,"Yam, peeled, boiled",Dioscorea rotundata,,"009,033,035,097,002",509.8,120.317,64.7,1.937,0.117,26.48,2.8,1.05,26.5,0.89,14.5,85.5,538.5,3.635,0.555,0.11,0.89,2,,22,,0.49,0.27,0.6,0.3,0.26,17,,9.5,"Yam, peeled, boiled   Dioscorea rotundata"
61,33,02_07_10,Starchy Roots And Tubers,,"Yam , fried",Dioscorea rotundata,,009,1171.3,277.3,33.9,3,5.3,53.8,1.2,2.8,61,4.6,25,155,420,510,7.3,,,,,,,,,,,,,,,"Yam , fried   Dioscorea rotundata"
62,35,02_07_12,Starchy Roots And Tubers,,"Yam, roasted",Dioscorea rotundata,,009,794.2,187.6,52,3.4,2,38.4,1.2,3.4,82,3.3,34,145,290,360,2.7,,,,,,,,,,,,,,,"Yam, roasted   Dioscorea rotundata"
63,36,02_07_13,Starchy Roots And Tubers,"Sokowara(Hausa), Iyan(Yoruba), Usong Udia(Ibibio)","Yam,peeled, boiled,  pounded",Dioscorea rotundata,,"009,033,035,097",460.477,108.953,72.153,1.03,1.42,22.213,1.6,0.7,42.545,1.165,17.195,169,370,450,1.39,13.15,1.4,,,97,,,,,,,,,,"Yam,peeled, boiled,  pounded  Sokowara(Hausa), Iyan(Yoruba), Usong Udia(Ibibio) Dioscorea rotundata"
64,37b,02_07_15,Starchy Roots And Tubers,Amala dudu(Yoruba),"Yam, Sundried, milled, powder, cooked into paste",Dioscorea rotundata,,"009,033,035",378.55,89.4,78.31,0.3,0.12,20.53,2.5,0.74,2.04,1.7,11.77,122,210,270,1.41,12.28,0.7,,,39,,,,,,,,,,"Yam, Sundried, milled, powder, cooked into paste  Amala dudu(Yoruba) Dioscorea rotundata"
