Id,REFID,Code,Category,LocalName,EnglishName,ScientificName,FrenchNames,Source,ENERGY_kJ,ENERGY_kcal,WATER_g,PROTEIN_g,FAT_g,CHO_g,FIB_g,ASH_g,Ca_mg,Fe_mg,Mg_mg,P_mg,K_mg,Na_mg,Zn_mg,Cu_mg,Mn_mg,VIT_A_RAE_mcg,RETOL_mcg,CARTB_mcg,VITDEQ_mcg,VITE_mg,THIA_mg,RIBF_mg,NIAEQ_mg,VIT_B6_mg,FOL_mcg,VITB12_mcg,VITC_mg,SearchName
201,19,08_08_01,Meat and Poultry,,"Rabbit,  Domesticated, composite of cuts, raw",Oryctolagus cuniculus,,001,546.2,130.15,72.82,20.05,5.55,,,0.72,13,1.57,19,213,330,41,1.57,0.145,0.026,,,,,,0.1,0.15,7.27,0.5,8,7.16,,"Rabbit,  Domesticated, composite of cuts, raw   Oryctolagus cuniculus"
202,20,08_09_01,Meat and Poultry,,"Snail,  Raw",Cornu aspersum,,001,359.5,85,79.2,16.1,1.4,2,,1.3,10,3.5,250,272,382,70,1,0.4,,30,30,,,5,0.01,0.12,1.4,0.13,6,0.5,,"Snail,  Raw   Cornu aspersum"
203,21a,08_10_01,Meat and Poultry,,"Turkey,   Whole,meat and skin, raw",Meleagris gallopavo,,001,578.77,137.84,72.69,21.64,5.64,0.13,,0.98,11,0.86,25,183,224,112,1.78,0.077,0.012,17,17,,0.3,0.09,0.048,0.185,7.631,0.599,7,1.22,,"Turkey,   Whole,meat and skin, raw   Meleagris gallopavo"
204,21b,08_10_02,Meat and Poultry,,"Turkey,Gizzard,Raw",,,001,444.29,105.53,77.47,18.8,3.37,,,0.93,16,2.78,19,164,185,147,3.03,0.22,0.085,46,46,,0.5,0.22,0.061,0.327,6.233,0.198,6,3.61,6.2,"Turkey,Gizzard,Raw"
205,21c,08_10_03,Meat and Poultry,,"Turkey,Heart,raw",,,001,565.98,135.36,74.47,16.7,7.44,0.4,,0.99,18,3.7,21,183,179,129,3.21,0.488,0.102,82,80,23,0.4,0.31,0.165,1.13,6.44,0.479,,13.3,3,"Turkey,Heart,raw"
206,21d,08_10_04,Meat and Poultry,,"Turkey,Liver, raw",,,001,513.92,122.54,75.54,18.26,5.5,,,1.32,20,8.94,24,279,214,131,3.37,0.863,0.296,8058,8056,29,1.3,0.24,0.206,2.247,11.233,1.04,677,19.73,24.5,"Turkey,Liver, raw"
207,1,09_01_01,Egg and Products,"Kwayin kaza(Hausa), Akwa okuko(Igbo), Eyin adiye(Yoruba), Nkwa unen(Ibibio)","Chicken, Egg, Whole, raw, Fresh",,,"001,085,201",626.782,150.552,76.583,13.065,10.452,1.055,,1.29,62.8,2.188,12,235.325,152.975,158.2,1.563,0.072,0.028,160,255,300,2,1.05,0.1,0.378,0.075,0.17,47,1.295,,"Chicken, Egg, Whole, raw, Fresh  Kwayin kaza(Hausa), Akwa okuko(Igbo), Eyin adiye(Yoruba), Nkwa unen(Ibibio)"
208,2,09_01_02,Egg and Products,,"Chicken, Egg white, raw, fresh",,,001,204,48.05,87.57,10.9,0.17,0.73,,0.63,7,0.08,11,15,163,166,0.03,0.023,0.011,,,,,,0.004,0.439,0.105,0.005,4,,,"Chicken, Egg white, raw, fresh"
209,3,09_01_03,Egg and Products,,"Chicken, Eggyolk,raw, fresh",,,001,1312.63,316.66,52.31,15.86,26.54,3.59,,1.71,129,2.73,5,390,109,48,2.3,0.077,0.055,381,371,,5.4,2.58,0.176,0.528,0.024,0.35,146,1.95,,"Chicken, Eggyolk,raw, fresh"
210,4,09_01_04,Egg and Products,,"Chicken, Egg, whole cooked, hard boiled",,,"001,201",811.49,194.93,66.107,16.827,13.57,1.373,,2.193,82.8,2.03,10,294.7,184.733,189.933,1.817,0.013,0.026,149,148,11,2.2,1.03,0.066,0.513,0.064,0.121,44,1.11,,"Chicken, Egg, whole cooked, hard boiled"
211,5,09_02_01,Egg and Products,"Kwoi agwagwa(Hausa), Akwa ubagwu(Igbo), Eyin pepeye(Yoruba), Nkwa unen mbakaka(Ibibio)","Duck, Egg, Whole, fresh, raw",,,001,751.91,180.97,70.83,12.81,13.77,1.45,,1.14,64,3.85,17,220,222,146,1.41,0.062,0.038,194,192,14,1.7,1.34,0.156,0.404,0.2,0.25,80,5.74,,"Duck, Egg, Whole, fresh, raw  Kwoi agwagwa(Hausa), Akwa ubagwu(Igbo), Eyin pepeye(Yoruba), Nkwa unen mbakaka(Ibibio)"
212,6,09_03_01,Egg and Products,"Kwoi Barbawa(Hausa), Eyin aparo(Yoruba)","Quail, Egg, Whole, fresh, raw",,,"001,201",690.94,165.955,72.525,14.825,11.495,0.8,,1.05,72.25,4.475,13,272.3,152.25,160.05,1.835,0.062,0.038,156,155,11,1.4,1.08,0.13,0.79,0.15,0.15,66,1.58,,"Quail, Egg, Whole, fresh, raw  Kwoi Barbawa(Hausa), Eyin aparo(Yoruba)"
213,7,09_03_02,Egg and Products,,"Egg,quail,boiled without salt",,,201,751.5,180.5,69.3,16.6,12.5,0.4,,1.5,86.6,5.7,,335.8,184,189,2.3,,,,,,,,,,,,,,,"Egg,quail,boiled without salt"
214,8,09_04_01,Egg and Products,"Kwoi tolotolo(Hausa), Akwa torotoro(Igbo), Eyin tolotolo(Yoruba), Nsen-turkey (Efik)","Turkey, Egg,Whole, fresh, raw",,,"001,201",693.435,166.82,70.65,12.59,12.44,1.125,,3.095,212.1,10.4,13,434.7,339,354,4.18,0.062,0.038,166,166,,,,0.11,0.47,0.024,0.131,71,1.69,,"Turkey, Egg,Whole, fresh, raw  Kwoi tolotolo(Hausa), Akwa torotoro(Igbo), Eyin tolotolo(Yoruba), Nsen-turkey (Efik)"
215,9,09_04_10,Egg and Products,,"Egg,turkey,boiled without salt",,,201,942.8,227.1,61.2,14.9,17.9,1.6,,5.4,156.9,8.6,,365.7,274,278.6,3.5,,,,,,,,,,,,,,,"Egg,turkey,boiled without salt"
216,10,09_05_11,Egg and Products,"Eyin awo(Yoruba), Nsen-guinea fowl (Efik)","Egg,guinea fowl,raw",,,201,864.2,207.4,61.8,20.3,13.8,0.5,,4.2,102.8,7.2,,386.4,378.1,250.1,2.8,,,,,,,,,,,,,,,"Egg,guinea fowl,raw  Eyin awo(Yoruba), Nsen-guinea fowl (Efik)"
217,11,09_05_12,Egg and Products,,"Egg,guinea fowl,boiled without salt",,,201,1170.5,281,50.3,26.6,19,0.9,,4,139.1,9.6,,516.2,507.2,333.8,3.6,,,,,,,,,,,,,,,"Egg,guinea fowl,boiled without salt"
218,1,10_01_01,Fish and Prooducts,,"Barracuda,  Raw",Sphyraena  spp,,002,348.9,82.3,78.7,19,0.7,,,1.3,26,0.9,31,175,252,89,0.51,0.06,,7,7,,0.6,0.19,0.12,0.09,4.1,0.31,9,2.1,,"Barracuda,  Raw   Sphyraena  spp"
219,2,10_02_01,Fish and Prooducts,,"Cat fish, farmed, raw",Clarias gariepinus,,"001,061",515.94,123.175,75.615,17.395,5.845,,0.495,1.54,8,5.8,19,197.18,302,98,1.685,,160.02,,,,0.2,0.885,0.02,0.83,2.105,0.154,10,2.88,6.505,"Cat fish, farmed, raw   Clarias gariepinus"
220,3,10_02_02,Fish and Prooducts,,"Cat fish, wild, raw",Clarias gariepinus,,"001,056",382.8,90.9,79.23,16.38,2.82,,,,14,9.5,23,209,358,43,2.905,2.6,,15,,,12.5,,0.21,0.072,1.907,0.116,10,2.23,0.7,"Cat fish, wild, raw   Clarias gariepinus"
221,4a,10_02_03,Fish and Prooducts,"Tarwada(Hausa), Eja abori(Yoruba), Iyak idin(Ibibio)","Catfish, Fresh, raw",Heteroclarias Spp,,061,526.85,124.8,71.24,25.05,2.6,,0.6,1.1,191.25,13.32,186.82,180.86,,,4.34,,10.05,7.5,,,,1.14,,1.63,,,,,19.24,"Catfish, Fresh, raw  Tarwada(Hausa), Eja abori(Yoruba), Iyak idin(Ibibio) Heteroclarias Spp"
222,4b,10_02_04,Fish and Prooducts,,"Catfish, Fresh, raw",Heterobranchus bidorsalis,,061,439.58,104.43,75.62,18.2,3.05,0.61,0.87,1.65,166.43,10.66,155.76,164.6,,,1.68,,155.76,3,,,,0.97,,1.85,,,,,18.01,"Catfish, Fresh, raw   Heterobranchus bidorsalis"
223,6,10_04_01,Fish and Prooducts,"Karguwa(Hausa), Alakan (Yoruba), Isobo(Ibibio)","Crab, meat, dried",Cardisoma armatum,,089,851.44,202.89,9.6,33.3,5.35,1.23,8.31,42.23,2157.86,27.95,51.66,360.23,367.19,297.8,15.23,57.83,0.39,,,,,,,,,,,,,"Crab, meat, dried  Karguwa(Hausa), Alakan (Yoruba), Isobo(Ibibio) Cardisoma armatum"
224,7,10_05_01,Fish and Prooducts,,"Crayfish,Dried",Cambarus spp,,"203,210,217",1406.207,332.51,12,67.26,5.457,3.45,0.28,15.323,3760,28.6,1100,1310,1760,,0.16,0.25,0.275,,,,,,1567,1149,,,,,10,"Crayfish,Dried   Cambarus spp"
225,15,10_14_01,Fish and Prooducts,Iyak (Efik/Ibibio),"Electric fish,flesh,raw",Malapterurus electricus,,208,882.35,211.08,54.97,18.35,10.82,8.86,2.43,4.57,,,,,,,,,,,,,,,,,,,,,,"Electric fish,flesh,raw  Iyak (Efik/Ibibio) Malapterurus electricus"
226,8a,10_06_01,Fish and Prooducts,Ukop(Ibibio),"Lobster, raw",Jasus spp,,085,373.1,88.2,78,17.9,1.4,1,,1.2,62,0.8,,280,260,330,,,,,,,,,0.1,0.1,,,,1,,"Lobster, raw  Ukop(Ibibio) Jasus spp"
227,8b,10_06_02,Fish and Prooducts,,"Lobster, cooked",,,085,501.5,119,72,22.1,3.4,,,,58,1,,230,500,182,,,,,25,5,,,0.01,0.1,,,,,2,"Lobster, cooked"
228,9a,10_07_01,Fish and Prooducts,Alaran (Yoruba),"Mackrel, Fresh,Raw",Scomber scombrus,,,513.95,122.4,66.667,19.35,5,,,1.4,26,5.733,33,225,403,59,1.745,1.745,,,,,,,,,,,,,,"Mackrel, Fresh,Raw  Alaran (Yoruba) Scomber scombrus"
229,9b,10_07_02,Fish and Prooducts,,"Mackerel, fried, with bones",,,085,574,137.5,47,15.7,8.3,,,,21,0.9,,200,310,110,,,,,38,,,,0.07,0.28,,,,9,,"Mackerel, fried, with bones"
230,10,10_08_01,Fish and Prooducts,"Isam(Igbo), Mfi (Efik/Ibibio)","Periwinkle,flesh,raw",Tympanotonus fuscatus,,"085,199",1514.11,358.58,10.37,68.46,7.68,3.65,0.51,10.16,44.73,,21.16,102.21,,,1.24,,,,,,,,,,,,,,,"Periwinkle,flesh,raw  Isam(Igbo), Mfi (Efik/Ibibio) Tympanotonus fuscatus"
231,11,10_09_01,Fish and Prooducts,"Oporo(Igbo), Ede-nla(Yoruba), Obu-ekem (Efik)","Prawn,whole,raw",Macrobrachium vollenhovenii,,199,1482.1,350.89,10.67,69.71,7.13,1.7,0.54,10.28,51.21,,21.7,102.67,,,1.22,,,,,,,,,,,,,,,"Prawn,whole,raw  Oporo(Igbo), Ede-nla(Yoruba), Obu-ekem (Efik) Macrobrachium vollenhovenii"
232,12a,10_10_01,Fish and Prooducts,"Kifin sardine(Hausa), Azu eke(Igbo), Ibat(Ibibio)","Sardine, Fresh, raw",Sardina spp,,002,437.1,103.7,74.9,19.4,2.9,,,2.5,71,1.8,35,281,499,77,1.57,0.07,,19,18,6,11,0.73,0.02,0.21,9.4,0.96,4,11,,"Sardine, Fresh, raw  Kifin sardine(Hausa), Azu eke(Igbo), Ibat(Ibibio) Sardina spp"
233,12b,10_08_02,Fish and Prooducts,,"Sea snail, dressed, steamed, without salt",Littorina littorea,,210,643.14,151.66,60,28.9,1.1,6.5,0.08,3.5,736,10.6,171,259,585,,0.05,0.09,0.16,,,,,,,,,,,,,"Sea snail, dressed, steamed, without salt   Littorina littorea"
234,13a,10_11_01,Fish and Prooducts,"Karfasa(Hausa), Iyak (Efik/Ibibio)","Tilapia, Fresh, raw",Tilapia guineensis,,"001,208",568.39,135.105,69.425,20.43,4.115,3.425,1.325,3.14,10,0.56,27,170,302,52,0.33,,,,,,3.06,0.4,0.041,0.063,3.903,0.162,24,1.58,,"Tilapia, Fresh, raw  Karfasa(Hausa), Iyak (Efik/Ibibio) Tilapia guineensis"
235,13b,10_12_01,Fish and Prooducts,,"Tilapia, Cooked, dry heat",,,001,542.6,128.45,71.59,26.15,2.65,,,,14,0.69,34,204,380,56,0.41,,,,,,3.7,0.79,0.093,0.073,4.745,0.123,6,1.86,,"Tilapia, Cooked, dry heat"
236,14,10_13_01,Fish and Prooducts,Kote(Yoruba),"Tuna, Raw",Thunnini spp,,002,584.8,139.1,70.4,23.3,5.1,,,1.5,14,1.1,40,249,349,51,0.45,0.08,,26,26,,6.5,1.1,0.16,0.14,13.5,0.69,15,5.1,,"Tuna, Raw  Kote(Yoruba) Thunnini spp"
237,1,11_01_01,Milk and Products,"Garin Madara(Hausa), Mong Eba(Ibibio)","Cow milk, Powder, Whole",,,002,2068.8,494.6,3.7,25.9,26.6,37.9,,5.9,968,0.7,91,735,1160,370,3.51,0.06,,228,218,129,1.2,0.5,0.3,1.32,0.7,0.25,39,3.3,11.3,"Cow milk, Powder, Whole  Garin Madara(Hausa), Mong Eba(Ibibio)"
238,2,11_01_02,Milk and Products,"Madaran Tsaniya(Hausa), Mmiri ara ehi(Igbo)",Fresh cow milk,,,167,680.9,165.05,42.25,4.25,16.45,,,2.9,0.85,7,0.23,0.37,3.05,1.06,,,,,,,,,,,,,,,,"Fresh cow milk  Madaran Tsaniya(Hausa), Mmiri ara ehi(Igbo)"
239,3,11_01_04,Milk and Products,,Cheese,,,"085,167",716.3,173.6,40,4.7,17.2,,,2.95,1,6,1.04,1.04,1.03,1.01,,,,,,,,,,,,,,,,Cheese
240,8,11_07_01,Milk and Products,,Yoghurt,,,172,260.5,61.9,85,6,1.7,5.2,0.9,1.02,184,0.08,,,233,,,,,,,,,,,,,,,,0.8,Yoghurt
241,4a,11_02_01,Milk and Products,Fura nono(Hausa),Fura,,,099,930.25,220.71,49.14,8.15,5.17,34.09,2.61,0.85,,50.2,,,,,4.12,2.75,,,,,,,,,,,,,,Fura  Fura nono(Hausa)
242,4b,11_02_02,Milk and Products,,Traditional fura powder,,,168,1594.4,376.7,7.8,12.1,4.3,71.2,2.4,2.2,50,7.5,,115,286,17,,,,,,,,,,,,,,,,Traditional fura powder
243,5,11_03_01,Milk and Products,"Madaran Akuya(Hausa), mmiri ara ewu(Igbo), Mong eba Ebot(Ibibio)","Goat milk, Fresh, raw",,,002,317.8,76.1,85.8,3.4,4.5,5.5,,0.8,142,0.1,14,119,215,48,0.3,0.02,,33,33,,0.1,0.03,0.06,0.17,0.3,0.04,1,0.1,1.5,"Goat milk, Fresh, raw  Madaran Akuya(Hausa), mmiri ara ewu(Igbo), Mong eba Ebot(Ibibio)"
244,6,11_04_01,Milk and Products,"Madaran nono(Hausa), Mmiri ara mmadu(Igbo), Mong Eba owo(Ibibio)","Human milk, mature, fluid",,,001,296.7,71.1,87.5,1.03,4.38,6.89,,0.2,32,0.03,3,14,51,17,0.17,0.052,0.026,61,60,7,0.1,0.08,0.014,0.036,0.177,0.223,0.011,0.05,5,"Human milk, mature, fluid  Madaran nono(Hausa), Mmiri ara mmadu(Igbo), Mong Eba owo(Ibibio)"
245,7,11_05_01,Milk and Products,,Soya bean milk,,,170,239.08,57.26,88.77,3.15,3.42,3.47,,,,,,,,,,,,,,,,,,,,,,,,Soya bean milk
246,1,12_01_01,Fats and oils,,"Butter, cow's milk, Fresh",,,"002,085",2934.95,713.65,20.1,0.8,78.45,1.1,,0.25,17,0.03,2,21,19,16,0.12,0.01,,696,675,262,1.1,2.11,0.01,0.03,0.1,,3,0.1,,"Butter, cow's milk, Fresh"
247,2,12_03_01,Fats and oils,Ororo agbon(Yoruba),"Coconut oil, Fresh",,,001,3665.22,891.54,0.03,,99.06,,,0.03,1,0.05,,,,,0.02,,,,,,,0.11,,,,,,,,"Coconut oil, Fresh  Ororo agbon(Yoruba)"
248,3,12_04_01,Fats and oils,Ororo epa(Yoruba),"Groundnut oil, Fresh",,,002,3700,900,,,100,,,,,0.03,,,,,,,,,,,,17.2,,,,,,,,"Groundnut oil, Fresh  Ororo epa(Yoruba)"
249,4,12_05_01,Fats and oils,Epo pupa(Yoruba),"Palm oil, Fresh",,,"002,085",3679.65,895.05,0.5,,99.45,,,0.05,,0.01,,,,,,,,5720,,68680,,15.94,,,,,,,,"Palm oil, Fresh  Epo pupa(Yoruba)"
250,1a,13_02_02,Beverages,,"Coffee, Instant, regular, prepared with water",,,001,7.48,1.76,99.09,0.1,,0.34,,0.17,4,0.04,4,3,30,4,0.01,0.011,0.015,,,,,,,0.001,0.236,,,,,"Coffee, Instant, regular, prepared with water"
251,1b,13_02_03,Beverages,,"Coffee,  Instant, regular, powder",,,001,1507.7,354.9,3.1,12.2,0.5,75.4,,8.8,141,4.41,327,303,3535,37,0.35,0.139,1.712,,,,,,0.008,0.074,28.173,0.029,,,,"Coffee,  Instant, regular, powder"
252,1,14_01_01,Miscellanous,,"African Palm weevil (larvae),  Dried",Rhynchophorus phoenicis,,064,2034.53,485.44,2.23,37.57,22.82,32.38,0.13,4.83,264.9,10.4,52.3,350.9,342.8,99.3,14.5,0.558,1.84,37.32,,,0.44,1.28,,,,,,,,"African Palm weevil (larvae),  Dried   Rhynchophorus phoenicis"
253,2,14_02_01,Miscellanous,,Orycteo rhinoceros larva,Orycteo rhinoceros,,174,1378.43,328.71,60.56,,14.87,48.72,,5.51,71.06,49.48,262.66,,62.71,,9.33,1.13,5.21,,,,,,,,,,,,,Orycteo rhinoceros larva   Orycteo rhinoceros
254,3a,14_03_01,Miscellanous,,"Winged Termite, Fresh, Raw",Macrotermes bellicosus,,049,1464.4,352.5,45,21.1,26.9,6.4,0.2,0.4,26.9,0.85,10.7,146.3,75.1,19.8,1.8,1.9,0.96,22.74,,,2.22,0.004,0.87,0.32,1.59,1.09,,,3.58,"Winged Termite, Fresh, Raw   Macrotermes bellicosus"
255,3b,14_03_02,Miscellanous,Esunsun(Yoruba),"Winged Termite, Roasted",,,050,2289.8,548.9,4.3,36.7,34.3,23.2,0.3,1.2,226.5,1.42,23.6,358.5,162.5,96.3,3.13,4.5,2.27,660.84,,,6.74,0.009,0.09,0.01,0.85,0.27,,,0.97,"Winged Termite, Roasted  Esunsun(Yoruba)"
256,3c,14_03_03,Miscellanous,Esunsun gbigbe(Yoruba),"Termites, dried",Macrotermis bellicosus,,085,2346.6,565.7,6,34.8,46.1,2.9,,10.2,242,,,110,,,,,,,,,,,,,,,,,,"Termites, dried  Esunsun gbigbe(Yoruba) Macrotermis bellicosus"
257,4,14_04_01,Miscellanous,Muni-muni(Yoruba),"Cirina forda, Dried",Cirina forda,,028,1920.3,456.8,4.1,52.6,16.8,23.7,0.2,2.6,268.67,5.64,384.7,197.66,872.5,494.7,15,1.2,,,,,,,,,,,,,,"Cirina forda, Dried  Muni-muni(Yoruba) Cirina forda"
258,8,15_07_01,Condiments and Spices,Odusa (Efik),"African black pepper, seed, dried, ground",Piper guineense,,"216,176",1677.4,397.8,8.8,5,8.8,72.4,4.5,4.9,445,16.25,,,220,280,4.98,1.49,9.9,27,,310,,1.04,0.108,0.18,1.143,0.291,17,,,"African black pepper, seed, dried, ground  Odusa (Efik) Piper guineense"
259,1,15_01_01,Condiments and Spices,Tafarnuwa(Hausa),"Garlic,raw",Allium sativum,,"029,203",500.005,117.92,67.33,8.205,0.64,19.48,0.71,1.385,,,,,,,,,,,,,,0.01,0.17,0.06,0.5,0.79,4,,18,"Garlic,raw  Tafarnuwa(Hausa) Allium sativum"
260,2,15_01_02,Condiments and Spices,,"Garlic,dried",,,"137,203",1558.875,367.375,4.57,16.95,0.755,71.67,3.05,4.53,,,,,,,,,,,,,,,,,,,,,,"Garlic,dried"
261,3a,15_02_01,Condiments and Spices,Citta(Hausa),"Ginger, raw",Zingeber officinale,,"029,203,001",434.31,104.27,75.79,8.16,5.27,3.8,4.5,2.73,,,,,,,,,0.229,,,,,0.26,0.025,0.034,0.75,0.16,11,,5,"Ginger, raw  Citta(Hausa) Zingeber officinale"
262,3b,15_02_02,Condiments and Spices,,"Ginger,root,dried",,,"085,137,203",1600.335,379.295,8.923,7.68,6.015,69.46,8.3,7.5,,,,,,,,,,,,,,1.1,0.16,0.27,0.8,0.16,37,,2,"Ginger,root,dried"
263,4,15_03_01,Condiments and Spices,"Dorawa(Hausa), Iru(Yoruba)","Locust Bean, Raw",Parkia biglobosa,,"029,065",1853.655,442.46,7.185,32.615,18.7,32.5,6.85,4.155,294.69,33.56,140.18,,932.9,107.09,27.9,,,,,,,,,,,,,,,"Locust Bean, Raw  Dorawa(Hausa), Iru(Yoruba) Parkia biglobosa"
264,5,15_03_02,Condiments and Spices,Iru Pete(Yoruba),"Locust Bean, Fermented  1",,,"030,065,029",1059.88,254.56,62.455,20.34,17.3,4,0.75,1.92,64.38,4.72,232.495,148.98,285.995,,,,,,,,,,,,,,,,,"Locust Bean, Fermented  1  Iru Pete(Yoruba)"
265,6,15_03_03,Condiments and Spices,Iru Woro(Yoruba),"Locust Bean, Fermented  2",,,"030,065",869.115,209.83,61.21,11.015,16.53,2.25,4,1.485,208.745,4.87,232.1,138.7,258.38,,0.48,,,,,,,,,,,,,,,"Locust Bean, Fermented  2  Iru Woro(Yoruba)"
266,7a,15_04_01,Condiments and Spices,"Albasa(Hausa), Ayabosi(Igbo), Alubosa(Yoruba)","Onions, raw",Allium cepa,,"085,002,001",114.1,27,93,0.9,,5.2,1.3,,21,0.3,10,30,140,10,0.17,0.039,0.129,,,1,,0.04,0.05,0.04,0.2,0.1,16,,10,"Onions, raw  Albasa(Hausa), Ayabosi(Igbo), Alubosa(Yoruba) Allium cepa"
267,7b,15_04_02,Condiments and Spices,,"Onions, Cooked",,,"085,002",71.6,17,97,0.6,,3,1.3,,24,0.3,,16,78,7,,,,,,1,,0.05,0.04,0.04,0.1,0.8,10,,6,"Onions, Cooked"
268,1,17_01_01,Condiments and Spices,,Carrot juice,Dancus carota,,172,160.06,37.84,88.3,0.6,0.2,7.9,1.02,0.7,25,0.3,,,68,,,,,,,100,,,,,,,,,6,Carrot juice   Dancus carota
269,3b,17_04_01,Condiments and Spices,,Grape fruit drink,,,037,174.48,41.36,87.6,2.4,0.2,6.44,2.1,1.26,5.1,,3.1,16.2,14.97,0.98,,,,,,,,,,,,,,,5,Grape fruit drink
270,4,17_05_01,Condiments and Spices,"Zoborodo(Hausa),",Hibiscus sabdariffa calyx extract,,,"180,179",184.85,43.7,89.63,0.8,0.7,8.55,,0.25,50.5,0.11,40,78,93,15,1.76,0.3,2.63,,,286,,,,0.07,,,,,,"Hibiscus sabdariffa calyx extract  Zoborodo(Hausa),"
271,5,17_06_01,Condiments and Spices,,Kunu drink,,,"180,097,167",314.707,74.363,84.324,2.693,1.07,13.49,,1.596,6.48,0.21,,1.967,1.5,,0.4,0.8,,,,,,,,,,,,,1.4,Kunu drink
272,6a,17_07_01,Condiments and Spices,,Lime juice,,,037,331.05,78,79.9,2.1,0.2,16.75,0.4,0.65,6.3,,6.1,15.6,16.1,0.81,,,,,,,,,,,,,,,40,Lime juice
273,6b,17_08_01,Condiments and Spices,"Kunun gomba(Hausa), Sekete (Yoruba)",Local millet brew,Pennisetum typhoideum,,085,118,28,91,0.7,0.2,5.1,1.5,1.5,8,2.7,,16,212,23.8,,,,,,,,,,,,,,,,"Local millet brew  Kunun gomba(Hausa), Sekete (Yoruba) Pennisetum typhoideum"
274,7,17_09_01,Condiments and Spices,Burukutu (Hausa),Local sorghum brew,Sorghum bicolor,,085,135.7,32.4,94,0.5,1.6,4,,0.2,1,0.6,,7,,,,,,,,,,,0.4,0.04,,,,,,Local sorghum brew  Burukutu (Hausa) Sorghum bicolor
275,10,17_12_01,Condiments and Spices,,Orange juice,,,"037,038",271.625,64.04,79.91,,,15.465,1.09,0.645,5.805,8.1,5.11,11.54,8.84,0.31,,,,,,15.84,,,0.11,0.06,,,,,49.115,Orange juice
276,9,17_11_01,Condiments and Spices,Nkwu Ocha(Igbo0,Palm wine sap,,,"180,181",88.333,20.833,95.643,0.533,0.167,4.3,,0.433,0.13,0.07,4.18,1.37,152,9.88,0.01,0.04,,,,,,,0.01,0.01,0.22,,,,6.8,Palm wine sap  Nkwu Ocha(Igbo0
277,11,17_13_01,Condiments and Spices,,Pineapple drink,,,038,257.43,60.8,84.65,0.85,0.6,12.78,0.44,0.68,1.12,,0.28,2.08,2.08,0.08,,,,,,12.43,,,0.12,0.08,,,,,38.67,Pineapple drink
278,12,17_14_01,Condiments and Spices,,"Pito, Commercially prepared",,,036,388.6,93.2,80.3,1.6,6,8.2,,1.4,4.1,,,1,1.5,,,0.2,1,,,,,,,,,,,,0.2,"Pito, Commercially prepared"
279,13,17_15_01,Condiments and Spices,,Plantain wine,,,180,126.7,29.9,92.36,0.4,0.3,6.4,,0.3,,,,,,,,,,,,,,,,,,,,,,Plantain wine
280,14,17_16_01,Condiments and Spices,,Sour sop juice,Annona muricata,,172,300.4,70.9,82,1,0.5,15.3,0.6,0.6,1.01,0.81,0.9,2.5,1.3,0.52,,,,,,,,,,,,,,,21,Sour sop juice   Annona muricata
281,15,17_17_01,Condiments and Spices,,Watermelon juice,,,038,125.19,29.56,92.47,0.51,0.26,6.18,0.23,0.37,0.49,,0.18,0.14,0.14,0.03,,,,,,23.74,,,0.05,0.04,,,,,16.76,Watermelon juice
